
Язык	ISO 639-1	ISO 639-2	ISO 639-3	ГОСТ 7.75–97	Цифровой код
Манипури	—	mni	mni	мни	433
Мандинго	—	man	man	май	432
Мальтийский	mt	mlt	mlt	млт	430
Малаялам	ml	mal	mal	мал	425
Малайский	ms	may/msa	msa	маз	420
Малагасийский	mg	mlg	mlg	млг	418
Македонский	mk	mac/mkd	mkd	маа	415
Макассарский	—	mak	mak	мак	414
Майтхили	—	mai	mai	май	412
Мадурский	—	mad	mad	мад	411
Магахи	—	mag	mag	маг	410
Люксембургский	lb	ltz	ltz	люк	409
Луо	—	luo	luo	луо	408
Лунда	—	lun	lun	лун	407
Луисеньо	—	lui	lui	луи	406
Луба-катанга	lu	lub	lub	луб	404
Лози	—	loz	loz	лоз	402
Литовский	lt	lit	lit	лит	400
Лингала	ln	lin	lin	лин	395
Лезгинский	—	lez	lez	лез	390
Лахнда	—	lah	lah	лах	387
Латышский	lv	lav	lav	лаш	385
Латинский	la	lat	lat	лат	380
Лаосский	lo	lao	lao	лао	375
Ламба	—	lam	lam	лам	373
Лакский	—	—	lbe	лак	370
Ладино	—	lad	lad	лад	363
Кхмерский	km	khm	khm	кхм	360
Кхаси	—	kha	kha	кха	357
Кутенай	—	kut	kut	кут	354
Кусайе	—	kos	kos	кус	353
Курух	—	kru	kru	куу	352
Курдский	ku	kur	kur	кур	350
Кумыкский	—	kum	kum	кум	349
Крымско-татарский	—	crh	crh	кры	347
Крик	—	mus	mus	крк	344
Кпелле	—	kpe	kpe	кпе	341
Коса	xh	xho	xho	коа	340
Корякский	—	—	kpy	коя	335
Корсиканский	co	cos	cos	кос	334
Корнский	kw	cor	cor	кор	332
Корейский	ko	kor	kor	коо	330
Коптский	—	cop	cop	коп	328
Конкани	—	kok	kok	кок	327
Конго	kg	kon	kon	кон	326
Коми-пермяцкий	—	—	koi	ком	325
Коми	kv	kom	kom	кои	320
Китайский	zh	chi/zho	zho	кит	315
Киргизский	ky	kir	kir	кир/кыр	305
Руанда	rw	kin	kin	кин	304
Киньяма	kj	kua	kua	кия	303
Кикуйю	ki	kik	kik	кик	302
Кечуа	qu	que	que	кеч	300
Кашмири	ks	kas	kas	каш	294
Качинский	—	kac	kac	кач	293
Каталанский	ca	cat	cat	кат	290
Кариб	—	car	car	кар	288
Карельский	—	krl	krl	кас	285
Карачаево-балкарский	—	krc	krc	као	280
Каракалпакский	—	kaa	kaa	кал	275
Караимский	—	—	kdr	каи	270
Канури	kr	kau	kau	кау	267
Каннада	kn	kan	kan	кан	265
Камба	—	kam	kam	кам	263
Калмыцкий	—	xal	xal	кал	260
Казахский	kk	kaz	kaz	каз	255
Каддо	—	cad	cad	кад	254
Кави	—	kaw	kaw	каг	252
Кабильский	—	kab	kab	каб	251
Кабардино-черкесский	—	kbd	kbd	каа	250
Йоруба	yo	yor	yor	йор	245
Ительменский	—	—	itl	ите	240
Итальянский	it	ita	ita	ита	235
Испанский	es	esl/spa	spa	исп	230
Исландский	is	ice/isl	isl	исл	225
Ирландский	ga	gle	gle	ирл	220
Инупиак	ik	ipk	ipk	инп	218
Инуктитут	iu	iku	iku	инк	217
Интерлингве	ie	ile	ile	ине	216
Интерлингва	ia	ina	ina	ина	215
Индонезийский	id	ind	ind	инд	210
Ингушский	—	inh	inh	инг	205
Илоко	—	ilo	ilo	ило	203
Идиш	yi	yid	yid	иди	202
Игбо	ig	ibo	ibo	ибо	199
Иврит	he	heb	heb	ивр	198
Ибанский	—	iba	iba	иба	197
Зуньи	—	zun	zun	зун	196
Зулу	zu	zul	zul	зул	195
Зенагский	—	zen	zen	зен	194
Еврейско-персидский	—	jpr	jpr	епе	193
Еврейско-арабский	—	jrb	jrb	еар	192
Дунганский	—	—	dng	дун	191
Дуала	—	dua	dua	дуа	190
Древнерусский	—	—	orv	дрр	188
Древнеегипетский	—	egy	egy	дре	187
Древнегреческий	—	grc	grc	дрг	186
Догри	—	doi	doi	дои	184
Дзонг-кэ	dz	dzo	dzo	дзо	183
Диула (Дьюла)	—	dyu	dyu	диу	182
Динка	—	din	din	дин	181
Дивехи (Мальдивский)	dv	div	div	див	180
Делавэрский	—	del	del	дел	179
Датский	da	dan	dan	дат	178
Даргинский	—	—	dar	даг	175
Дакота	—	dak	dak	дак	173
Гэльский	gd	gla	gla	гэл	170
Гуджарати	gu	guj	guj	гуд	165
Гуарани	gn	grn	grn	гуа	160
Грузинский	ka	geo/kat	kat	гру	158
Греческий (новогреческий)	el	ell/gre	ell	гре	157
Гребо	—	grb	grb	грб	155
Готский	—	got	got	гот	154
Гонди	—	gon	gon	гон	153
Гилбертский	—	gil	gil	гил	152
Геэз	—	gez	gez	гез	151
Гереро	hz	her	her	гер	149
Ганда	lg	lug	lug	ган	148
Галисийский	gl	glg	glg	гал	147
Гайо	—	gay	gay	гай	146
Гагаузский	—	—	gag	гаг	145
Гавайский	—	haw	haw	гав	143
Га	—	gaa	gaa	гаа	142
Вьетнамский	vi	vie	vie	вье	140
Волоф	wo	wol	wol	воф	138
Волапюк	vo	vol	vol	вол	137
Воламо	—	wal	wal	воа	136
Вепсский	—	—	vep	веп	135
Венда	ve	ven	ven	вед	134
Венгерский	hu	hun	hun	вен	133
Вашо	—	was	was	ваш	132
Варай	—	war	war	вар	131
Валлийский	cy	cym/wel	cym	вал	130
Ваи	—	vai	vai	ваи	127
Бходжпури	—	bho	bho	бхо	126
Бурятский	—	bua	bua	бур	125
Бугийский	—	bug	bug	буг	123
Бретонский	br	bre	bre	бре	120
Брауи	—	—	brh	бра	117
Болгарский	bg	bul	bul	бол	115
Бислама	bi	bis	bis	бис	107
Бирманский	my	bur/mya	mya	бир	105
Бини	—	bin	bin	бин	104
Бикольский	—	bik/ bcl	bik	бик	103
Бенгальский	bn	ben	ben	бен	100
Бемба	—	bem	bem	бем	097
Белуджский	—	bal	bal	беу	095
Белорусский	be	bel	bel	бел	090
Беджа	—	bej	bej	бед	087
Башкирский	ba	bak	bak	баш	086
Баскский	eu	baq/eus	eus	бак	085
Баса	—	bas	bas	бас	084
Банда	—	bad	bad	бан	082
Бамбара	bm	bam	bam	бам	080
Балийский	—	ban	ban	бал	078
Ачоли	—	ach	ach	ачо	077
Ачехский	—	ace	ace	аче	076
Ацтекский	—	—	nah	ацт	075
Ахвахский	—	akv	akv	ахв	074
Африхили	—	afh	afh	афх	073
Африкаанс	af	afr	afr	афр	070
Афарский	aa	aar	aar	афа	068
Атапачские	—	—	ath	ата	067
Ассирийский	—	—	aii	асе	065
Ассамский	as	asm	asm	аса	060
Армянский	hy	arm/hye	hye/axm/xcl	арм	055
Арауканский	—	arn	arn	арн	054
Арапахо	—	arp	arp	арп	053
Арамейский	—	arc	arc	аре	052
Аравакский	—	arw	arw	арв	051
Арабский	ar	ara	ara	ара	050
Английский	en	eng	eng	анг	045
Амхарский	am	amh	amh	амх	040
Алтайский	—	alt	alt	алт	035
Алеутский	—	ale	ale	але	033
Албанский	sq	alb/sqi	sqi	алб	030
Аккадский	—	akk	akk	акк	028
Акан	ak	aka	aka	ака	027
Аймара	ay	aym	aym	айм	026
Азербайджанский	az	aze	aze	азе	025
Адыгейский	—	ady	ady	ады	020
Адангме	—	ada	ada	ада	018
Авестийский	ae	ave	ave	аве	016
Аварский	av	ava	ava	ава	014
Авадхи	—	awa	awa	авд	012
Абхазский	ab	abk	abk	абх	010
Абазинский	—	—	abq	аба	005
Айну	—	ain	ain	—	—
Боснийский	bs	bos	bos	боc	—
Древнесаксонский	—	—	osx		
Рутульский	—	—	rut	рут	
Сербский	sr	scc	srp		
Хорватский	hr	hrv/scr	hrv	—	—
Шотландский (англо-шотландский)	—	sco	sco	—	—
